,r2,mae,mape,rmse,val r2,val mae,val mape,val rmse,use_log
"Congo, Rep.",0.0010114859818035615,0.30397671405385485,0.08003847490981769,0.36376559037377043,-1,0.3158611155844563,0.07414166837777728,0.3426640201904552,True
Colombia,0.5167478489511804,0.2518418799978254,0.06610423108420531,0.32093064159026063,-1,0.1908458605560126,0.042511419970375476,0.22335009888196683,True
Comoros,0.21313532961192572,10.887896212829943,0.19363685903500846,13.87178222361503,-0.2653081204281942,5.648896400373329,0.07213394691664007,7.0570905917420195,False
Cabo Verde,0.3906214616722833,0.2203033202123057,0.054830434543082625,0.29592623229691073,-1,0.14437813540760916,0.03169222282911515,0.16469951863594035,True
Costa Rica,0.011791868353876689,2.688583440276908,0.030333973237954254,3.31096179144257,-0.07876276721094033,1.8673909058003375,0.020954891376126793,2.5013644376266835,False
Cuba,0.09239885436800221,6.120826654256512,0.07222427251273042,8.355049583740204,-0.4365827164940759,6.158374269610631,0.07443045042103713,8.859733609383314,False
Cyprus,0.46313341743873826,0.2417371612489862,0.059417970620973946,0.3009941609558536,-1,0.1980416820769947,0.04318292874315645,0.2180004919659055,True
Czechia,0.17734415278970506,0.005546402523020014,0.001210586331809908,0.007642759810663111,0.31136329634101856,0.005449544107835358,0.0011886178223647621,0.006608817763353555,True
Germany,0.07091667523525702,0.07941414459924342,0.01799601339616401,0.10286429542472338,-1,0.05619228617302898,0.012315369438522256,0.05767434094383147,True
Djibouti,0.4059699446913887,13.890932295719844,0.44358013409086405,18.68880986065678,0.09365489410474725,8.316544747081705,0.09876023533027625,10.251818301141192,False
Dominica,0.21773784627106174,0.04738378155067703,0.010663125743570671,0.0784450014587012,-1,0.03233035096965882,0.007068620297525571,0.038644103746842504,True
Denmark,0.1751128754408502,0.030942727507196635,0.006884706208731427,0.046995107255046416,-0.472853129591031,0.039029531311186624,0.008648141994745227,0.04518426961809788,True
Dominican Republic,0.5806358243291164,0.1959726872950545,0.04950450825969436,0.24180275057616152,-1,0.1405087932401316,0.03174702636561985,0.16546706988233573,True
Algeria,0.4740081525680211,0.042905015739273106,0.009724062254382392,0.05340933059961738,0.4936160207663478,0.025053726667112565,0.005583188491697805,0.03106005613883803,True
Ecuador,0.6508268720108739,0.20226994052561392,0.05647705320384753,0.30160910038339245,-1,0.2249231562504975,0.04978274499530797,0.2598525283603708,True
"Egypt, Arab Rep.",0.6914381328920063,0.07900049059189575,0.01820084780116914,0.09889154787271992,-1,0.06587762483218702,0.014400939663628359,0.08203840136486941,True
Eritrea,0.5830657171201195,0.15587674522641884,0.037653849655704986,0.20030617418058946,-1,0.11453910326337997,0.025187223166407164,0.1325254814760445,True
Spain,0.46562376948126816,0.037132986557202666,0.008282285833235894,0.04775219406622544,-1,0.01939382899865629,0.004237554271462893,0.021863713108610038,True
Estonia,0.629319360865982,0.04299855513525354,0.009667505167005439,0.05224049208887653,-1,0.03336325020532209,0.007341501179396541,0.04109586374433785,True
Ethiopia,0.6188181885913837,9.620949524096199,0.5650509570258522,12.230677546082623,0.5155882795172153,5.656058291728508,0.13478671480061374,6.74399113553159,False
Finland,0.3730641706677764,0.018959556421282307,0.004158143520629263,0.024147419889563853,-1,0.012206278077405841,0.0026619807910068854,0.013687829708307009,True
Fiji,0.46287021814647644,7.18660657282096,0.08421153374312171,8.176252585211074,-1,3.0963131495940828,0.03188503046966219,3.25840471782603,False
